clu_41642 ENSG00000227232.5
clu_41643 ENSG00000279457.4
clu_41654 ENSG00000237094.11
clu_41663 ENSG00000228327.3
clu_41661 ENSG00000228327.3
clu_41654 ENSG00000228327.3
clu_41655 ENSG00000228327.3
clu_41663 ENSG00000230092.7
clu_41664 ENSG00000230092.7
clu_41669 ENSG00000228794.8
clu_41668 ENSG00000228794.8
clu_41682 ENSG00000187634.11
clu_41681 ENSG00000187634.11
clu_41680 ENSG00000187634.11
clu_41674 ENSG00000187634.11
clu_41687 ENSG00000188976.10
clu_41686 ENSG00000188976.10
clu_41685 ENSG00000188976.10
clu_41684 ENSG00000188976.10
clu_41694 ENSG00000187961.13
clu_41695 ENSG00000187961.13
clu_41693 ENSG00000187961.13
clu_41692 ENSG00000187961.13
clu_41691 ENSG00000187961.13
clu_41690 ENSG00000187961.13
clu_41689 ENSG00000187961.13
clu_41688 ENSG00000187961.13
clu_41699 ENSG00000187583.10
clu_41702 ENSG00000188290.10
clu_41711 ENSG00000188157.14
clu_41710 ENSG00000188157.14
clu_41709 ENSG00000188157.14
clu_41708 ENSG00000188157.14
clu_41704 ENSG00000188157.14
clu_41706 ENSG00000188157.14
clu_41703 ENSG00000188157.14
clu_41707 ENSG00000188157.14
clu_41714 ENSG00000131591.17
clu_41716 ENSG00000131591.17
clu_41718 ENSG00000131591.17
clu_41722 ENSG00000078808.16
clu_41721 ENSG00000078808.16
clu_41723 ENSG00000160087.20
clu_41727 ENSG00000230415.1
clu_41733 ENSG00000162572.20
clu_41743 ENSG00000131584.18
clu_41742 ENSG00000131584.18
clu_41741 ENSG00000131584.18
clu_41740 ENSG00000131584.18
clu_41739 ENSG00000131584.18
clu_41737 ENSG00000131584.18
clu_41738 ENSG00000131584.18
clu_41736 ENSG00000131584.18
clu_41735 ENSG00000131584.18
clu_41734 ENSG00000131584.18
clu_41746 ENSG00000169972.11
clu_41745 ENSG00000169972.11
clu_41744 ENSG00000169972.11
clu_41751 ENSG00000127054.20
clu_41748 ENSG00000127054.20
clu_41747 ENSG00000127054.20
clu_41754 ENSG00000224051.6
clu_41758 ENSG00000107404.19
clu_41759 ENSG00000107404.19
clu_41760 ENSG00000107404.19
clu_41756 ENSG00000107404.19
clu_41752 ENSG00000107404.19
clu_41757 ENSG00000107404.19
clu_41755 ENSG00000162576.16
clu_41724 ENSG00000162576.16
clu_41765 ENSG00000221978.11
clu_41764 ENSG00000221978.11
clu_41763 ENSG00000221978.11
clu_41753 ENSG00000221978.11
clu_41768 ENSG00000224870.6
clu_41767 ENSG00000242485.5
clu_41766 ENSG00000242485.5
clu_41770 ENSG00000179403.11
clu_41771 ENSG00000215915.9
clu_41771 ENSG00000160072.19
clu_41772 ENSG00000160072.19
clu_41775 ENSG00000160072.19
clu_41777 ENSG00000197785.13
clu_41776 ENSG00000197785.13
clu_41774 ENSG00000197785.13
clu_41778 ENSG00000197785.13
clu_41773 ENSG00000197785.13
clu_41785 ENSG00000197530.12
clu_41789 ENSG00000197530.12
clu_41788 ENSG00000197530.12
clu_41787 ENSG00000197530.12
clu_41782 ENSG00000197530.12
clu_41784 ENSG00000197530.12
clu_41781 ENSG00000197530.12
clu_41794 ENSG00000248333.8
clu_41795 ENSG00000248333.8
clu_41793 ENSG00000248333.8
clu_41792 ENSG00000248333.8
clu_41803 ENSG00000189339.11
clu_41801 ENSG00000189339.11
clu_41802 ENSG00000189339.11
clu_41808 ENSG00000008128.22
clu_41792 ENSG00000008128.22
clu_41807 ENSG00000008128.22
clu_41798 ENSG00000008128.22
clu_41797 ENSG00000008128.22
clu_41805 ENSG00000008128.22
clu_41796 ENSG00000008128.22
clu_41790 ENSG00000008128.22
clu_41799 ENSG00000008128.22
clu_41804 ENSG00000215790.6
clu_41801 ENSG00000215790.6
clu_41808 ENSG00000215790.6
clu_41815 ENSG00000008130.15
clu_41814 ENSG00000008130.15
clu_41813 ENSG00000008130.15
clu_41812 ENSG00000008130.15
clu_41809 ENSG00000008130.15
clu_41811 ENSG00000078369.17
clu_41810 ENSG00000078369.17
clu_41822 ENSG00000162585.16
clu_41823 ENSG00000162585.16
clu_41832 ENSG00000157933.9
clu_41833 ENSG00000157933.9
clu_41840 ENSG00000116151.13
clu_41837 ENSG00000116151.13
clu_41839 ENSG00000116151.13
clu_41841 ENSG00000157916.19
clu_41842 ENSG00000157916.19
clu_41845 ENSG00000157911.9
clu_41846 ENSG00000157911.9
clu_41851 ENSG00000157881.13
clu_41853 ENSG00000157881.13
clu_41852 ENSG00000157881.13
clu_41850 ENSG00000157881.13
clu_41849 ENSG00000157881.13
clu_41848 ENSG00000157881.13
clu_41858 ENSG00000157873.17
clu_41857 ENSG00000157873.17
clu_41856 ENSG00000157873.17
clu_41858 ENSG00000225931.3
clu_41862 ENSG00000157870.14
clu_41861 ENSG00000157870.14
clu_41860 ENSG00000157870.14
clu_41859 ENSG00000157870.14
clu_41870 ENSG00000162591.15
clu_41874 ENSG00000162591.15
clu_41873 ENSG00000162591.15
clu_41872 ENSG00000162591.15
clu_41875 ENSG00000162591.15
clu_41869 ENSG00000162591.15
clu_41868 ENSG00000162591.15
clu_41866 ENSG00000162591.15
clu_41876 ENSG00000158109.14
clu_41880 ENSG00000116213.15
clu_41879 ENSG00000116213.15
clu_41878 ENSG00000116213.15
clu_41886 ENSG00000227372.11
clu_41889 ENSG00000130764.9
clu_41896 ENSG00000116198.12
